lock,unlock,update,total
554,13,36,676
626,14,21,679
627,14,29,686
761,14,22,839
608,21,24,668
579,8,18,615
352,20,27,432
639,15,28,700
683,14,29,748
462,14,23,524
29,45,24,109
560,14,27,613
571,15,16,617
677,14,15,717
251,15,23,327
711,11,39,781
621,10,30,679
144,15,30,229
700,10,32,759
666,8,17,701
650,14,17,691
611,9,19,670
744,9,21,798
599,8,16,632
636,7,16,672
639,8,26,696
740,10,28,806
562,9,22,604
566,9,14,604
727,8,27,788
658,8,17,694
627,9,17,669
560,8,20,595
513,9,16,549
471,11,20,519
557,11,33,618
489,9,16,524
494,7,22,556
534,9,39,595
505,7,21,540
502,9,19,536
536,14,23,587
432,12,26,480
519,11,27,574
374,16,23,422
298,14,30,376
283,13,17,329
334,9,17,376
346,8,21,393
231,9,18,279
337,8,19,386
336,15,21,382
227,10,13,264
72,9,15,108
219,15,29,304
761,21,24,819
751,14,17,793
372,15,30,457
761,14,22,810
738,11,12,770
32,24,45,128
723,16,28,776
755,15,23,798
683,20,25,739
650,15,29,713
784,14,22,833
679,7,18,721
626,8,15,661
693,8,39,758
771,10,41,857
610,7,14,647
736,14,34,803
726,15,21,777
639,9,16,674
622,21,17,676
792,9,35,853
969,9,40,1030
622,18,42,703
885,20,26,947
889,14,23,932
855,14,26,901
735,9,32,782
881,20,37,950
866,15,27,919
756,11,54,847
747,8,24,791
421,8,18,456
810,7,15,846
470,9,18,517
285,9,11,314
72,14,31,142
131,13,23,187
536,9,16,577
574,9,22,621
650,8,16,690
303,10,24,342
557,8,25,610
569,10,20,605
473,9,18,515
564,9,14,599
608,21,33,673
654,26,21,711
672,9,21,718
593,9,16,628
655,9,26,707
650,15,20,704
604,9,18,638
609,8,24,661
678,11,32,738
687,16,21,733
577,8,25,644
643,8,16,679
674,9,22,720
620,10,16,656
570,16,29,624
681,9,23,734
564,9,20,599
673,15,28,732
853,8,19,895
667,7,16,708
535,13,47,605
775,14,18,817
940,10,13,968
427,9,12,456
251,9,22,308
176,14,18,217
694,18,21,741
292,15,20,336
239,9,21,274
223,6,20,263
335,7,28,384
248,9,18,282
208,21,18,255
131,7,24,175
290,24,22,356
608,14,16,648
618,11,28,674
605,13,18,649
156,15,24,220
490,15,22,539
608,11,21,659
645,10,16,687
422,9,20,467
617,9,15,656
677,9,24,724
520,9,13,552
765,39,0,814
763,12,36,818
514,9,19,555
829,9,43,887
712,11,38,771
